contig_id,cluster_id
k141_19746,9
k141_24119,11
k141_32852,21
k141_21938,8
k141_8801,9
k141_26281,20
k141_11023,20
k141_35001,19
k141_37204,20
k141_17567,17
k141_21940,6
k141_19748,19
k141_37205,20
k141_144,10
k141_13245,8
k141_28487,20
k141_15399,20
k141_43773,10
k141_19749,9
k141_48085,10
k141_39365,6
k141_24125,21
k141_21945,8
k141_45916,10
k141_13246,8
k141_8806,10
k141_43775,2
k141_6697,20
k141_32863,2
k141_146,20
k141_41575,9
k141_30651,8
k141_13247,10
k141_8807,9
k141_24131,10
k141_4482,21
k141_2290,20
k141_48094,20
k141_148,2
k141_15409,5
k141_24132,8
k141_6706,6
k141_43785,21
k141_41579,6
k141_39376,9
k141_37218,21
k141_39377,2
k141_26296,9
k141_19761,21
k141_15410,0
k141_43787,9
k141_24136,8
k141_6709,20
k141_30662,9
k141_32876,9
k141_21955,10
k141_15411,21
k141_43789,10
k141_28507,21
k141_48101,9
k141_17584,10
k141_11048,8
k141_50294,6
k141_2299,20
k141_45932,6
k141_8810,17
k141_26300,10
k141_13263,20
k141_19767,17
k141_11049,10
k141_15413,6
k141_35027,21
k141_48104,4
k141_37226,21
k141_32884,6
k141_43793,0
k141_11053,21
k141_41594,21
k141_4493,19
k141_39379,10
k141_21964,6
k141_11055,20
k141_6722,20
k141_32889,2
k141_37231,10
k141_2305,8
k141_6723,9
k141_30663,17
k141_24149,9
k141_45946,6
k141_35035,6
k141_43801,19
k141_4496,21
k141_8820,20
k141_13275,21
k141_26312,10
k141_45947,10
k141_169,21
k141_21972,9
k141_32892,2
k141_39382,7
k141_19781,10
k141_37236,8
k141_41602,10
k141_8821,10
k141_15429,8
k141_28525,17
k141_21973,17
k141_19782,19
k141_2308,2
k141_45950,10
k141_11064,10
k141_32898,21
k141_48121,19
k141_30670,21
k141_24154,8
k141_13282,0
k141_28527,2
k141_24155,19
k141_4504,21
k141_19786,19
k141_37238,21
k141_45953,10
k141_177,10
k141_15435,21
k141_48126,19
k141_32903,2
k141_41614,6
k141_43813,17
k141_39391,10
k141_8828,2
k141_19790,19
k141_48128,9
k141_45956,20
k141_21987,21
k141_6741,17
k141_4509,20
k141_17602,10
k141_35049,19
k141_39392,9
k141_2317,8
k141_19791,10
k141_15441,10
k141_41618,21
k141_182,19
k141_37243,20
k141_32909,19
k141_35050,9
k141_41619,10
k141_11080,2
k141_50308,10
k141_39398,19
k141_15444,19
k141_28539,20
