contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_34901.concoct_part_0	0.000	0.000	0.000	0.000	0.481	1.424
k141_30539.concoct_part_0	0.000	0.000	0.000	0.000	1.618	0.000
k141_32719.concoct_part_0	1.634	0.000	0.000	0.621	0.000	0.000
k141_23995.concoct_part_0	2.008	0.237	0.000	0.000	0.000	0.331
k141_10909.concoct_part_0	2.202	0.514	0.000	0.376	0.000	0.509
k141_6549.concoct_part_0	0.108	0.000	1.989	0.000	0.000	0.000
k141_28356.concoct_part_0	0.000	0.000	0.000	4.398	0.000	0.000
k141_8.concoct_part_0	0.378	0.000	0.000	2.261	0.000	0.200
k141_13091.concoct_part_0	0.000	0.000	0.000	2.038	0.000	0.100
k141_21813.concoct_part_0	1.735	0.000	0.000	0.000	0.000	0.000
k141_4365.concoct_part_0	0.000	0.000	0.776	0.000	0.840	0.000
k141_26175.concoct_part_0	2.491	0.000	0.000	0.000	0.000	0.033
k141_50165.concoct_part_0	2.155	0.327	0.000	0.000	0.000	0.177
k141_45803.concoct_part_0	1.293	0.000	0.000	0.000	0.499	0.000
k141_43624.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.959
k141_39262.concoct_part_0	0.600	0.000	0.000	1.906	0.000	0.000
k141_30540.concoct_part_0	0.946	6.954	0.000	0.579	2.575	1.736
k141_19631.concoct_part_0	0.000	0.330	0.000	0.000	2.116	0.000
k141_9.concoct_part_0	0.000	0.000	6.271	1.251	0.000	0.000
k141_34902.concoct_part_0	0.879	0.000	0.000	0.000	2.704	0.000
k141_28357.concoct_part_0	0.000	0.812	0.000	0.000	1.834	0.000
k141_41444.concoct_part_0	0.000	2.103	0.000	0.000	0.000	0.000
k141_43625.concoct_part_0	0.000	0.000	1.844	0.000	0.000	0.000
k141_17449.concoct_part_0	0.609	0.000	0.000	0.000	0.000	2.236
k141_4366.concoct_part_0	0.864	0.148	0.000	0.379	0.000	0.000
k141_21814.concoct_part_0	0.000	3.383	0.000	0.070	0.590	0.773
k141_50166.concoct_part_0	0.000	0.655	0.731	0.687	0.000	0.000
k141_13092.concoct_part_0	0.000	0.000	0.000	0.000	2.571	0.169
k141_6550.concoct_part_0	0.000	0.000	2.161	0.000	0.000	0.000
k141_32720.concoct_part_0	0.388	3.585	0.000	0.296	0.000	1.254
k141_45804.concoct_part_0	0.000	0.000	2.009	0.000	0.000	0.000
k141_10.concoct_part_0	0.000	0.000	0.000	0.000	2.330	0.000
k141_34903.concoct_part_0	0.000	2.511	0.000	0.000	0.274	0.000
k141_41445.concoct_part_0	0.163	0.433	0.000	0.000	0.430	0.332
k141_2183.concoct_part_0	0.457	1.614	0.000	0.000	0.229	0.872
k141_28358.concoct_part_0	0.000	0.000	1.117	0.000	0.000	0.000
k141_10910.concoct_part_0	0.000	2.330	0.000	0.000	0.000	0.000
k141_30541.concoct_part_0	0.000	0.000	0.000	0.224	3.130	0.000
k141_34904.concoct_part_0	0.990	0.000	0.000	2.262	0.000	0.000
k141_23996.concoct_part_0	2.516	0.168	0.000	0.324	0.000	0.047
k141_11.concoct_part_0	0.000	0.000	0.875	0.421	0.000	0.000
k141_43626.concoct_part_0	1.684	0.000	0.000	0.000	0.504	0.000
k141_15270.concoct_part_0	0.462	1.636	0.000	0.000	0.170	0.345
k141_28359.concoct_part_0	1.036	0.000	0.000	0.332	0.000	1.619
k141_30542.concoct_part_0	0.000	2.227	0.000	0.000	0.000	0.000
k141_50167.concoct_part_0	0.000	0.000	1.306	0.000	0.000	0.000
k141_12.concoct_part_0	1.000	0.000	0.000	0.000	0.252	0.000
k141_41446.concoct_part_0	0.070	0.849	0.000	0.000	0.000	0.417
k141_32721.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.033
k141_8725.concoct_part_0	0.312	2.712	0.000	0.000	0.810	0.283
k141_13093.concoct_part_0	0.685	0.293	0.000	0.000	0.000	1.769
k141_2184.concoct_part_0	1.291	0.000	0.000	0.000	0.000	0.000
k141_4367.concoct_part_0	2.069	0.000	0.000	0.000	0.000	0.000
k141_47982.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.722
k141_30543.concoct_part_0	0.000	1.301	0.000	0.000	0.855	0.000
k141_6551.concoct_part_0	0.000	0.000	1.402	0.558	0.000	0.000
k141_43627.concoct_part_0	0.000	0.000	1.597	0.000	0.000	0.000
k141_26176.concoct_part_0	0.000	0.000	0.000	0.000	2.182	0.000
k141_13.concoct_part_0	0.000	0.000	0.000	2.374	0.000	0.000
k141_13094.concoct_part_0	0.000	0.000	1.272	0.000	0.000	0.000
k141_34905.concoct_part_0	0.000	0.000	2.278	0.000	0.000	0.000
k141_37080.concoct_part_0	0.000	0.000	0.000	3.919	0.000	0.094
k141_23997.concoct_part_0	0.924	0.741	0.000	0.812	0.000	0.000
k141_28360.concoct_part_0	2.993	0.000	0.000	0.000	0.000	0.000
k141_6552.concoct_part_0	0.000	1.295	0.000	1.526	0.000	0.000
k141_34906.concoct_part_0	0.000	1.077	0.000	0.000	0.000	0.861
k141_32722.concoct_part_0	0.649	0.432	0.000	2.736	0.000	0.634
k141_8726.concoct_part_0	0.000	0.000	1.767	0.000	0.000	0.000
k141_41447.concoct_part_0	0.000	0.000	2.774	0.000	0.000	0.000
k141_47983.concoct_part_0	0.000	0.000	1.839	1.618	0.000	0.000
k141_30544.concoct_part_0	0.000	0.000	1.692	0.000	0.362	0.000
k141_10911.concoct_part_0	0.000	0.000	1.937	0.000	0.000	0.000
k141_21815.concoct_part_0	0.000	0.000	0.000	3.544	0.000	0.059
k141_19632.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.321
k141_2185.concoct_part_0	0.000	0.000	0.000	0.000	3.112	0.000
