contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_26224.concoct_part_0	1.015	0.138	0.000	0.166	0.655	0.000
k141_4441.concoct_part_0	0.000	0.000	3.829	0.000	0.000	0.000
k141_48027.concoct_part_0	3.112	0.000	0.000	0.000	0.000	0.000
k141_10980.concoct_part_0	1.362	0.000	0.000	0.000	0.000	0.000
k141_13173.concoct_part_0	0.000	0.000	0.000	0.000	2.480	0.000
k141_21887.concoct_part_0	0.000	0.000	1.055	0.000	0.000	0.000
k141_50228.concoct_part_0	0.000	0.094	1.627	0.155	0.000	0.064
k141_2243.concoct_part_0	0.000	1.382	0.000	0.000	0.618	0.856
k141_32791.concoct_part_0	4.906	0.000	0.000	0.149	0.000	0.090
k141_6625.concoct_part_0	0.000	0.584	0.000	0.000	1.174	0.000
k141_24061.concoct_part_0	0.000	0.000	2.527	0.000	0.000	0.000
k141_30584.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.178
k141_26225.concoct_part_0	1.084	0.000	0.000	0.924	0.000	0.000
k141_28433.concoct_part_0	0.530	1.051	0.000	0.000	0.335	0.771
k141_39303.concoct_part_0	0.091	0.000	3.167	0.000	0.000	0.000
k141_41513.concoct_part_0	0.273	0.967	0.000	0.226	1.170	0.036
k141_8764.concoct_part_0	0.000	0.000	2.621	0.000	0.433	0.000
k141_19693.concoct_part_0	0.931	1.573	0.000	0.000	1.007	0.000
k141_37152.concoct_part_0	0.990	1.620	0.000	0.772	0.869	0.000
k141_4442.concoct_part_0	0.000	0.000	0.000	0.000	2.093	0.000
k141_21888.concoct_part_0	0.000	0.000	0.000	0.000	2.705	0.000
k141_13174.concoct_part_0	0.000	0.000	0.000	0.000	2.960	0.000
k141_19694.concoct_part_0	3.182	0.000	0.000	0.000	0.000	0.000
k141_88.concoct_part_0	0.000	2.024	0.000	0.000	0.000	0.000
k141_43709.concoct_part_0	0.000	0.000	2.481	0.000	0.000	0.000
k141_41514.concoct_part_0	0.186	1.208	0.000	0.000	0.000	0.628
k141_39304.concoct_part_0	1.848	0.000	0.000	0.000	0.000	0.000
k141_10981.concoct_part_0	1.903	0.584	0.000	0.417	0.000	0.000
k141_17508.concoct_part_0	4.188	0.000	0.000	0.556	0.000	0.000
k141_50229.concoct_part_0	0.000	2.062	0.000	0.000	0.000	0.000
k141_30585.concoct_part_0	0.000	0.000	0.000	2.152	0.000	0.500
k141_34944.concoct_part_0	1.236	1.028	0.000	0.000	0.000	0.000
k141_2244.concoct_part_0	0.000	0.000	1.654	0.442	0.000	0.000
k141_24063.concoct_part_0	0.000	0.000	0.000	0.000	3.209	0.000
k141_39305.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.402
k141_26226.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.501
k141_41515.concoct_part_0	1.113	0.000	0.000	0.000	0.000	0.000
k141_21889.concoct_part_0	0.000	0.000	0.000	1.920	0.000	0.000
k141_13175.concoct_part_0	0.000	0.000	2.122	0.000	0.000	0.000
k141_48028.concoct_part_0	0.305	0.000	0.000	0.000	0.271	2.488
k141_19695.concoct_part_0	0.000	0.600	0.000	0.000	0.098	2.104
k141_34945.concoct_part_0	1.471	0.000	0.000	0.000	0.000	0.000
k141_30586.concoct_part_0	0.526	0.000	0.000	2.162	0.000	0.000
k141_10982.concoct_part_0	0.000	0.426	0.000	0.000	0.000	1.756
k141_24064.concoct_part_0	0.000	0.000	1.099	0.000	0.000	0.000
k141_17509.concoct_part_0	0.654	1.007	0.000	0.000	0.000	0.000
k141_89.concoct_part_0	0.000	0.000	0.000	2.583	0.000	0.000
k141_28434.concoct_part_0	2.458	0.156	0.000	0.775	0.000	0.000
k141_19696.concoct_part_0	0.446	1.682	0.000	0.493	0.000	0.000
k141_26227.concoct_part_0	0.542	1.224	0.000	0.000	0.302	0.060
k141_4443.concoct_part_0	2.546	0.357	0.000	1.436	0.000	0.000
k141_10983.concoct_part_0	0.000	0.000	0.000	0.000	3.242	0.000
k141_41516.concoct_part_0	0.000	0.275	0.000	0.069	3.266	0.000
k141_8765.concoct_part_0	0.000	0.000	0.000	1.309	0.000	0.000
k141_21890.concoct_part_0	0.000	0.801	2.248	0.000	0.000	0.000
k141_48029.concoct_part_0	1.292	0.000	0.000	0.000	0.000	0.322
k141_90.concoct_part_0	0.000	0.000	0.000	1.380	0.000	0.000
k141_43711.concoct_part_0	3.455	0.000	0.000	1.123	0.000	0.874
k141_30587.concoct_part_0	0.000	0.000	0.000	1.817	0.000	0.000
k141_50230.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.798
k141_6626.concoct_part_0	0.000	0.000	0.000	3.386	0.000	0.033
k141_39306.concoct_part_0	0.000	0.000	0.764	0.484	0.000	0.000
k141_13176.concoct_part_0	0.000	0.000	0.000	2.661	0.000	0.000
k141_19697.concoct_part_0	0.980	0.422	0.000	0.980	0.000	0.000
k141_34946.concoct_part_0	4.202	0.000	0.000	0.000	0.000	0.000
k141_10984.concoct_part_0	0.000	0.000	0.000	0.000	3.358	0.000
k141_41517.concoct_part_0	0.000	0.000	0.000	0.698	0.701	0.332
k141_24065.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.072
k141_2245.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.053
k141_15335.concoct_part_0	0.015	0.043	4.056	0.034	0.533	0.014
k141_91.concoct_part_0	0.000	0.000	0.000	1.893	0.000	0.000
k141_21891.concoct_part_0	0.000	2.599	0.000	0.000	0.000	0.000
k141_34947.concoct_part_0	0.000	0.000	2.914	0.431	0.000	0.000
k141_19698.concoct_part_0	0.000	0.000	0.000	0.000	1.443	0.000
k141_43712.concoct_part_0	0.000	0.000	1.824	0.000	0.000	0.000
k141_6627.concoct_part_0	0.000	0.570	0.000	0.000	0.000	0.000
k141_30588.concoct_part_0	0.000	0.000	0.000	1.265	0.000	0.000
k141_4444.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.065
k141_24066.concoct_part_0	2.847	0.000	0.000	0.000	0.000	0.000
k141_50231.concoct_part_0	0.000	0.000	2.185	0.000	0.000	0.000
k141_15336.concoct_part_0	0.000	0.000	0.000	1.623	0.000	0.000
k141_10985.concoct_part_0	0.000	0.000	0.000	2.369	0.000	0.000
k141_32792.concoct_part_0	3.081	0.032	0.000	0.039	0.000	0.000
k141_28435.concoct_part_0	2.956	0.000	0.000	0.000	0.000	0.000
k141_4445.concoct_part_0	0.000	0.000	0.000	2.378	0.000	0.000
k141_92.concoct_part_0	2.513	2.665	0.000	0.000	0.489	0.369
k141_50232.concoct_part_0	0.000	0.000	2.974	0.000	0.000	0.000
k141_41518.concoct_part_0	0.000	0.000	2.062	0.000	0.000	0.000
k141_34948.concoct_part_0	2.608	0.000	0.000	0.000	0.000	0.000
k141_43713.concoct_part_0	0.000	1.667	0.000	0.410	0.699	0.000
k141_28436.concoct_part_0	1.093	0.000	0.000	0.000	0.863	0.000
k141_39307.concoct_part_0	1.201	2.280	0.000	0.000	1.285	0.000
k141_26228.concoct_part_0	0.611	0.451	0.000	0.133	2.234	0.147
k141_13177.concoct_part_0	1.088	0.579	0.000	0.000	0.000	0.573
k141_17510.concoct_part_0	2.532	0.000	0.000	0.000	0.000	0.000
k141_30589.concoct_part_0	1.856	0.000	0.000	0.000	0.494	0.000
k141_10986.concoct_part_0	0.309	0.000	2.813	0.000	0.303	0.000
k141_2246.concoct_part_0	1.512	0.439	0.000	0.000	0.000	0.000
k141_4446.concoct_part_0	0.000	0.000	0.000	0.000	2.804	0.000
k141_28437.concoct_part_0	0.000	0.466	1.127	0.000	0.605	0.000
k141_48030.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.185
k141_17511.concoct_part_0	1.000	0.000	0.000	0.000	0.000	0.502
k141_50233.concoct_part_0	0.000	0.603	0.000	0.000	1.623	0.000
k141_15337.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.583
k141_19699.concoct_part_0	0.000	1.264	0.000	0.000	1.113	0.000
k141_41519.concoct_part_0	0.000	0.000	2.248	0.091	0.000	0.000
k141_21892.concoct_part_0	0.000	0.000	0.000	3.751	0.000	0.325
k141_6628.concoct_part_0	0.583	0.395	0.000	0.000	2.258	0.526
k141_13178.concoct_part_0	0.000	0.000	0.000	0.000	3.256	0.000
k141_26229.concoct_part_0	0.000	0.000	1.160	0.000	0.000	0.000
k141_34949.concoct_part_0	0.000	0.000	1.747	0.000	0.000	0.000
k141_10987.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.388
k141_28438.concoct_part_0	0.000	0.000	1.568	0.293	0.000	0.000
k141_45862.concoct_part_0	0.053	0.748	3.141	0.449	0.740	0.292
k141_50234.concoct_part_0	0.000	0.000	2.136	0.000	0.000	0.000
k141_19700.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.035
k141_26230.concoct_part_0	0.000	0.000	1.857	0.000	0.000	0.000
k141_34950.concoct_part_0	0.000	0.000	1.488	0.000	0.000	0.000
k141_21893.concoct_part_0	0.000	0.000	0.369	1.413	0.354	0.000
k141_13179.concoct_part_0	0.000	1.643	0.000	0.000	0.000	0.000
k141_17512.concoct_part_0	0.000	0.000	2.564	0.000	0.000	0.000
k141_15338.concoct_part_0	0.000	0.000	2.336	0.000	0.000	0.000
k141_2247.concoct_part_0	0.000	0.000	3.036	0.111	0.000	0.000
k141_32793.concoct_part_0	0.000	0.000	3.527	0.000	1.114	0.000
k141_4448.concoct_part_0	0.000	0.000	0.000	2.251	0.000	0.000
k141_41520.concoct_part_0	2.678	0.000	0.000	0.000	0.000	0.000
k141_45863.concoct_part_0	2.395	0.000	0.000	0.000	0.000	0.000
k141_39308.concoct_part_0	0.000	1.070	0.000	0.000	1.244	0.000
k141_13180.concoct_part_0	0.000	0.000	1.643	0.000	0.000	0.000
k141_93.concoct_part_0	0.000	0.000	3.721	0.000	0.000	0.000
k141_34951.concoct_part_0	0.000	0.000	0.000	1.579	0.000	0.000
k141_17513.concoct_part_0	0.000	0.000	0.000	0.000	0.447	0.893
k141_4449.concoct_part_0	0.000	0.000	1.247	1.241	0.000	0.000
k141_2248.concoct_part_0	0.000	0.000	2.369	0.000	0.000	0.000
k141_10988.concoct_part_0	0.000	0.000	2.661	0.392	0.000	0.000
k141_13181.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.072
k141_37154.concoct_part_0	0.000	0.000	0.000	4.074	0.000	0.000
k141_94.concoct_part_0	0.000	0.604	0.000	0.000	1.784	1.070
k141_17514.concoct_part_0	0.000	3.068	0.000	0.000	0.000	0.000
k141_6629.concoct_part_0	2.716	0.805	0.000	1.152	0.000	0.149
k141_32794.concoct_part_0	2.111	0.000	0.000	0.000	1.055	0.000
k141_10989.concoct_part_0	0.000	0.714	0.000	0.000	1.083	0.000
k141_13182.concoct_part_0	0.000	0.000	1.659	0.000	0.000	0.224
k141_45864.concoct_part_0	0.666	0.000	0.000	2.640	0.000	0.000
k141_41522.concoct_part_0	0.000	0.000	2.430	0.589	0.000	0.000
k141_39309.concoct_part_0	0.000	0.000	0.000	4.314	0.000	0.000
k141_34952.concoct_part_0	0.759	0.000	2.518	0.000	0.000	0.209
k141_37155.concoct_part_0	0.000	0.000	1.642	0.000	0.000	0.000
k141_10990.concoct_part_0	0.000	0.000	0.974	1.344	0.000	0.000
k141_32795.concoct_part_0	0.000	1.719	0.000	0.000	0.000	0.000
k141_21894.concoct_part_0	0.000	2.826	0.000	0.000	0.000	0.000
k141_45865.concoct_part_0	1.258	0.000	0.000	0.000	0.000	0.000
k141_24068.concoct_part_0	0.200	0.069	4.774	0.000	0.707	0.000
k141_6630.concoct_part_0	2.154	0.000	0.000	0.000	0.000	0.000
k141_32796.concoct_part_0	1.983	0.000	0.000	0.000	0.000	0.000
k141_48031.concoct_part_0	0.000	4.395	0.000	0.000	0.264	0.282
k141_15339.concoct_part_0	2.591	0.000	0.000	0.000	0.000	0.110
k141_95.concoct_part_0	0.000	0.379	0.000	0.000	1.427	0.000
k141_13183.concoct_part_0	0.000	0.000	2.757	0.000	0.000	0.000
k141_43714.concoct_part_0	0.054	0.051	3.462	0.000	0.503	0.000
k141_19701.concoct_part_0	0.000	2.153	0.000	0.000	0.953	0.439
k141_17515.concoct_part_0	0.000	2.578	0.116	0.000	0.765	0.000
k141_50235.concoct_part_0	1.679	0.584	0.000	0.592	0.148	0.214
k141_2249.concoct_part_0	4.520	0.381	0.000	0.471	0.000	0.000
k141_26231.concoct_part_0	0.000	2.919	0.000	0.000	1.027	0.457
k141_34953.concoct_part_0	1.404	0.000	0.000	0.000	0.000	0.000
k141_32798.concoct_part_0	0.343	0.000	0.000	2.689	0.000	0.000
k141_19702.concoct_part_0	1.227	0.000	0.000	1.136	0.000	0.000
k141_13184.concoct_part_0	0.673	0.000	0.000	1.400	0.000	0.000
k141_48032.concoct_part_0	0.000	0.567	0.000	0.000	1.501	0.557
k141_15340.concoct_part_0	0.000	0.000	0.000	0.000	2.024	0.000
k141_30590.concoct_part_0	0.000	3.099	0.000	0.000	0.272	0.000
k141_96.concoct_part_0	0.631	0.000	0.000	0.075	0.950	0.000
k141_26232.concoct_part_0	0.000	0.000	0.000	2.162	0.000	0.000
k141_34954.concoct_part_0	0.000	2.115	0.000	0.000	0.000	0.000
k141_15341.concoct_part_0	0.000	2.108	0.000	0.000	0.000	0.000
k141_8766.concoct_part_0	0.254	0.000	2.051	0.000	0.049	0.000
k141_28439.concoct_part_0	0.000	0.197	0.121	0.000	1.052	3.045
k141_19703.concoct_part_0	1.337	0.483	0.000	0.000	0.000	0.000
k141_10991.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.356
k141_30591.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.066
k141_24071.concoct_part_0	1.121	0.000	0.000	0.000	1.071	0.000
k141_2250.concoct_part_0	0.000	0.000	2.594	0.000	0.000	0.436
k141_45866.concoct_part_0	0.000	0.000	2.242	0.000	0.000	0.320
k141_4450.concoct_part_0	2.655	0.614	0.000	1.270	0.000	0.164
k141_32799.concoct_part_0	0.000	0.000	0.000	0.000	2.672	1.717
k141_10992.concoct_part_0	1.332	0.000	0.000	0.929	0.000	0.000
k141_43715.concoct_part_0	1.867	0.684	0.000	0.279	0.000	0.000
k141_15342.concoct_part_0	1.449	0.709	0.000	0.000	0.000	0.000
k141_17516.concoct_part_0	0.000	1.530	0.000	0.000	0.888	0.000
k141_48033.concoct_part_0	0.000	0.000	3.585	0.000	1.156	0.000
k141_19704.concoct_part_0	0.000	0.000	1.758	0.000	0.000	0.000
k141_26233.concoct_part_0	2.673	0.000	0.000	0.000	0.000	0.000
k141_97.concoct_part_0	0.619	0.646	0.000	1.370	0.000	0.801
k141_2251.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.670
k141_50236.concoct_part_0	0.258	0.000	0.000	0.000	2.398	0.121
k141_24072.concoct_part_0	0.000	0.000	1.810	0.000	0.000	0.000
k141_41523.concoct_part_0	2.172	0.468	0.029	1.548	0.026	0.000
k141_45867.concoct_part_0	0.000	0.000	0.000	0.000	3.503	0.000
k141_30592.concoct_part_0	1.429	0.432	0.000	0.000	0.581	0.088
k141_26234.concoct_part_0	0.000	0.000	2.261	0.000	0.000	0.000
k141_13185.concoct_part_0	0.000	0.000	0.000	2.563	0.000	0.000
k141_15343.concoct_part_0	1.866	0.000	0.000	0.000	0.000	0.000
k141_19705.concoct_part_0	0.000	1.678	0.000	0.000	0.000	0.338
k141_17517.concoct_part_0	1.278	0.442	0.000	0.673	0.671	0.000
k141_41524.concoct_part_0	2.030	0.000	0.000	0.000	0.000	0.000
k141_24073.concoct_part_0	1.619	0.000	0.000	0.000	0.000	0.126
k141_37156.concoct_part_0	0.105	0.355	4.340	0.000	0.651	0.000
k141_48034.concoct_part_0	0.000	0.642	0.000	0.000	1.538	0.000
k141_10993.concoct_part_0	0.269	1.925	0.000	0.000	1.269	0.363
k141_32800.concoct_part_0	2.430	0.000	0.000	0.000	0.711	0.000
k141_98.concoct_part_0	0.000	0.000	1.505	0.465	0.000	0.119
k141_13186.concoct_part_0	0.000	0.000	0.000	0.316	0.000	3.068
k141_6631.concoct_part_0	0.456	2.247	0.015	0.107	1.375	0.683
k141_41525.concoct_part_0	0.000	0.000	1.708	0.000	0.000	0.000
k141_17518.concoct_part_0	0.000	0.302	0.000	0.000	0.000	1.505
k141_34955.concoct_part_0	0.000	0.000	0.000	2.569	0.000	0.000
k141_2252.concoct_part_0	0.000	0.349	0.000	1.505	0.000	0.000
k141_37157.concoct_part_0	0.000	0.000	1.875	0.000	0.212	0.000
k141_19706.concoct_part_0	3.137	0.000	0.000	0.000	0.099	0.000
k141_39310.concoct_part_0	0.287	0.042	4.184	0.000	0.000	0.139
k141_24075.concoct_part_0	0.000	0.490	0.000	0.000	1.019	0.000
k141_15344.concoct_part_0	0.000	0.558	0.000	0.000	0.282	0.845
k141_4451.concoct_part_0	0.000	1.334	0.000	0.000	1.380	0.000
k141_26235.concoct_part_0	0.000	0.000	0.696	0.649	0.431	0.000
k141_45868.concoct_part_0	0.757	0.473	0.000	0.455	0.000	0.922
k141_13187.concoct_part_0	0.000	2.583	0.000	0.000	0.000	0.000
k141_32801.concoct_part_0	0.000	2.828	0.000	0.000	0.000	0.000
k141_50237.concoct_part_0	0.855	1.986	0.000	0.000	1.357	0.518
k141_10994.concoct_part_0	0.000	0.000	0.000	0.000	1.829	0.000
k141_24076.concoct_part_0	0.000	2.280	0.000	0.000	0.000	0.000
k141_39311.concoct_part_0	0.000	1.209	0.000	0.000	0.405	0.000
k141_45869.concoct_part_0	0.000	0.000	1.695	0.000	0.000	0.000
k141_15345.concoct_part_0	0.000	0.351	1.422	0.000	0.640	0.000
k141_50238.concoct_part_0	0.000	0.000	2.496	0.000	0.000	0.000
k141_37158.concoct_part_0	0.000	0.740	3.189	0.000	0.175	0.000
k141_26236.concoct_part_0	4.753	0.000	0.000	0.000	0.000	0.000
k141_17519.concoct_part_0	0.000	2.302	0.000	0.156	0.000	0.000
k141_21895.concoct_part_0	0.142	0.000	3.950	0.000	0.000	0.000
k141_48035.concoct_part_0	0.750	0.771	0.000	0.576	0.000	0.378
k141_15346.concoct_part_0	0.892	0.000	0.000	0.000	0.000	0.000
k141_2253.concoct_part_0	0.000	0.000	0.000	1.421	0.000	0.000
k141_50239.concoct_part_0	0.000	0.000	1.349	0.000	0.000	0.000
k141_24077.concoct_part_0	0.000	0.000	2.591	0.000	0.000	0.000
k141_13188.concoct_part_0	1.271	0.502	0.000	0.678	0.000	0.499
k141_15347.concoct_part_0	0.000	0.000	0.000	0.000	1.686	0.000
k141_32803.concoct_part_0	2.692	0.000	0.000	0.058	0.000	0.000
k141_39312.concoct_part_0	0.000	0.698	0.000	0.000	1.289	0.000
k141_17520.concoct_part_0	0.000	0.000	0.000	1.215	0.000	1.462
k141_37159.concoct_part_0	1.027	5.287	0.000	0.000	0.902	2.030
k141_6632.concoct_part_0	0.000	0.000	0.000	3.160	0.000	0.000
k141_21896.concoct_part_0	0.347	0.000	0.000	1.536	0.270	0.854
k141_24078.concoct_part_0	0.000	0.000	1.735	0.589	0.000	0.000
k141_43716.concoct_part_0	4.783	0.037	0.000	0.561	0.025	1.455
k141_10995.concoct_part_0	0.000	0.000	0.000	4.221	0.000	0.144
k141_13189.concoct_part_0	2.513	0.000	0.000	0.000	0.586	0.000
k141_15348.concoct_part_0	1.650	0.000	0.000	0.090	0.000	0.000
k141_6633.concoct_part_0	0.000	0.573	0.000	0.000	2.090	0.000
k141_50240.concoct_part_0	2.669	0.000	0.000	0.966	0.000	0.000
k141_4452.concoct_part_0	2.313	0.891	0.000	0.144	0.000	0.000
k141_21897.concoct_part_0	0.129	0.522	0.000	0.000	0.717	1.501
k141_2254.concoct_part_0	0.000	0.000	1.944	0.000	0.000	0.000
k141_19707.concoct_part_0	0.000	0.000	0.000	5.233	0.000	0.158
k141_41526.concoct_part_0	1.466	0.081	0.000	0.000	1.347	0.000
k141_45870.concoct_part_0	2.538	1.694	0.000	1.383	4.814	0.619
k141_30593.concoct_part_0	0.584	1.764	0.000	0.021	1.285	1.465
k141_43717.concoct_part_0	0.539	0.000	0.000	2.608	0.000	0.000
k141_21898.concoct_part_0	1.832	0.000	0.000	0.000	0.000	0.000
k141_50241.concoct_part_0	0.000	0.000	1.519	0.000	0.000	0.000
k141_13190.concoct_part_0	0.000	0.000	3.925	0.201	0.000	0.000
k141_32804.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.027
k141_39313.concoct_part_0	0.000	0.000	1.961	0.000	0.000	0.000
k141_45871.concoct_part_0	0.000	0.887	0.000	0.365	0.744	1.062
k141_34956.concoct_part_0	2.723	0.300	0.000	0.764	0.000	0.450
k141_99.concoct_part_0	0.206	0.000	3.070	0.000	0.461	0.000
k141_4453.concoct_part_0	0.464	0.000	0.000	0.000	0.000	0.917
k141_43718.concoct_part_0	0.000	0.000	2.033	0.000	0.000	0.172
k141_6634.concoct_part_0	0.000	0.000	0.000	0.000	1.890	0.000
k141_50242.concoct_part_0	0.000	0.000	0.000	0.000	2.137	0.000
k141_19708.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.553
k141_41527.concoct_part_0	0.000	0.000	2.262	0.000	0.000	0.000
k141_15349.concoct_part_0	0.000	0.000	2.355	0.000	0.000	0.000
k141_26237.concoct_part_0	2.679	0.039	0.000	1.292	0.000	0.000
k141_24079.concoct_part_0	0.862	1.415	0.000	0.208	1.261	0.211
k141_39314.concoct_part_0	0.831	1.554	0.000	0.000	0.000	0.418
k141_100.concoct_part_0	0.000	0.000	0.000	1.534	0.000	0.000
k141_13191.concoct_part_0	0.441	0.000	0.000	0.000	3.007	0.129
k141_8767.concoct_part_0	2.408	0.296	0.000	0.539	0.000	0.000
k141_43719.concoct_part_0	0.629	0.000	0.000	0.000	0.470	0.000
k141_21899.concoct_part_0	0.000	0.000	0.000	0.000	2.789	0.000
k141_17521.concoct_part_0	0.794	0.974	0.000	2.114	0.000	0.303
k141_37160.concoct_part_0	3.775	0.000	0.000	0.000	0.000	0.000
k141_13192.concoct_part_0	0.000	0.000	0.000	0.000	1.076	0.000
k141_26238.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.758
k141_101.concoct_part_0	0.000	0.000	0.000	2.000	0.000	0.000
k141_6635.concoct_part_0	0.868	0.409	0.000	0.000	0.624	0.000
k141_21900.concoct_part_0	1.385	0.000	0.000	1.637	0.000	0.000
k141_34957.concoct_part_0	0.383	0.350	0.000	1.208	0.000	1.022
k141_32805.concoct_part_0	0.000	0.000	2.752	0.214	0.000	0.000
k141_50243.concoct_part_0	1.732	0.000	0.000	0.461	0.000	0.000
k141_43720.concoct_part_0	0.000	1.415	0.000	0.000	0.368	0.000
k141_48036.concoct_part_0	3.827	0.000	0.000	0.242	0.000	0.057
k141_17522.concoct_part_0	0.000	0.848	0.000	0.000	0.000	0.584
k141_26239.concoct_part_0	0.000	0.000	1.640	0.903	0.000	0.000
k141_21901.concoct_part_0	1.775	0.000	0.000	0.500	0.000	0.000
k141_6636.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.477
k141_19709.concoct_part_0	1.953	0.000	0.000	0.000	0.988	0.000
k141_32806.concoct_part_0	0.000	0.000	0.000	0.000	1.149	0.000
k141_15350.concoct_part_0	1.551	0.000	0.000	0.409	0.000	0.074
k141_48037.concoct_part_0	0.000	0.000	1.875	0.000	0.000	0.000
k141_13193.concoct_part_0	0.000	0.000	2.111	0.000	0.000	0.421
k141_17523.concoct_part_0	0.769	0.671	3.053	1.013	1.502	0.258
k141_19710.concoct_part_0	1.173	0.000	0.000	0.484	0.000	0.000
k141_32807.concoct_part_0	0.000	0.000	0.000	0.000	2.500	0.000
k141_43721.concoct_part_0	3.363	1.370	0.000	0.762	4.803	3.361
k141_50244.concoct_part_0	0.000	0.000	1.528	0.000	0.000	0.000
k141_48038.concoct_part_0	0.000	0.000	0.000	2.333	0.000	0.317
k141_13194.concoct_part_0	0.000	0.000	1.155	0.000	0.000	0.000
k141_39315.concoct_part_0	0.000	1.604	0.000	0.000	2.689	0.637
k141_34958.concoct_part_0	0.000	0.000	0.000	2.329	0.000	0.000
k141_41528.concoct_part_0	0.000	1.264	0.000	0.141	0.408	0.992
k141_26240.concoct_part_0	0.000	0.000	1.721	0.000	0.000	0.000
k141_32808.concoct_part_0	0.000	0.000	2.420	0.000	0.000	0.000
k141_8768.concoct_part_0	2.127	0.433	0.000	1.146	0.000	0.000
k141_15351.concoct_part_0	0.000	0.000	0.000	1.436	0.000	0.000
k141_17524.concoct_part_0	0.000	0.000	1.838	0.000	0.000	0.000
k141_45872.concoct_part_0	3.313	0.000	0.000	0.233	0.000	0.000
k141_48039.concoct_part_0	0.000	0.000	2.297	0.000	0.000	0.000
k141_19711.concoct_part_0	0.000	0.000	0.000	0.000	2.929	0.000
k141_13195.concoct_part_0	0.000	0.000	0.000	1.577	0.389	0.000
k141_21902.concoct_part_0	2.157	0.000	0.000	0.079	0.000	0.000
k141_39316.concoct_part_0	0.807	0.383	0.000	0.000	1.587	0.266
k141_32809.concoct_part_0	2.294	0.000	0.000	0.000	0.000	0.000
k141_41529.concoct_part_0	0.000	0.586	0.000	0.000	1.682	0.000
k141_43722.concoct_part_0	0.000	2.278	0.000	0.000	0.000	0.296
k141_26241.concoct_part_0	0.000	0.000	2.183	0.000	0.000	0.000
k141_2255.concoct_part_0	4.047	0.000	0.000	0.000	0.000	0.000
k141_24080.concoct_part_0	0.421	1.109	0.000	0.000	0.350	0.876
k141_45873.concoct_part_0	0.000	0.000	2.498	0.000	0.000	0.000
k141_32810.concoct_part_0	0.000	0.000	1.399	0.000	0.000	0.000
k141_39317.concoct_part_0	0.000	0.000	0.000	0.000	2.339	0.000
k141_19712.concoct_part_0	0.000	0.000	1.464	0.000	0.000	0.000
k141_50245.concoct_part_0	0.000	2.149	0.000	0.000	0.000	0.000
k141_48040.concoct_part_0	1.349	0.000	0.000	2.053	0.000	0.000
k141_8769.concoct_part_0	0.000	0.000	0.000	2.174	0.000	0.000
k141_4454.concoct_part_0	0.000	3.225	0.000	0.000	0.856	0.798
k141_21903.concoct_part_0	0.983	0.000	0.000	1.272	0.000	0.000
k141_24081.concoct_part_0	0.000	2.776	0.000	0.000	0.000	0.000
k141_28440.concoct_part_0	0.268	2.277	0.000	0.104	1.563	1.038
k141_41530.concoct_part_0	0.000	0.000	1.938	0.000	0.000	0.000
k141_6637.concoct_part_0	0.000	0.000	0.000	3.327	0.000	0.064
k141_17525.concoct_part_0	0.000	0.000	0.000	1.627	0.000	0.000
k141_102.concoct_part_0	0.339	0.347	4.029	0.000	0.469	0.000
k141_39318.concoct_part_0	4.145	0.000	0.000	0.000	0.000	0.000
k141_43723.concoct_part_0	2.917	0.117	0.331	0.000	0.133	0.000
k141_45874.concoct_part_0	0.000	1.340	0.000	0.000	1.314	0.637
k141_2256.concoct_part_0	0.000	0.000	1.747	0.000	0.000	0.000
k141_26242.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.439
k141_24082.concoct_part_0	1.278	0.000	0.000	0.000	0.000	0.380
k141_50246.concoct_part_0	0.000	0.000	1.932	0.000	0.000	0.000
k141_21904.concoct_part_0	0.000	0.000	2.875	0.000	0.000	0.000
k141_41531.concoct_part_0	0.000	0.000	2.098	0.463	0.463	0.000
k141_43724.concoct_part_0	0.285	0.000	0.000	2.298	0.000	0.000
k141_28441.concoct_part_0	0.000	0.000	2.494	0.000	0.000	0.000
k141_19713.concoct_part_0	0.299	1.613	0.000	0.000	0.240	0.389
k141_8770.concoct_part_0	2.494	0.000	0.000	0.000	0.152	0.000
